geoid,median_income,pct_housing_pre_1950,poverty_rate,children_under_6_rate,minority_share,median_housing_year,acs_year
340010132022,62500.0,0.014634146341463415,,0.0243612596553773,0.23648247177658943,1976.0,2022
340010133011,58657.0,0.205607476635514,,0.0,0.10475352112676062,1972.0,2022
340010133012,,0.7681159420289855,,0.0,0.0,1938.0,2022
340010133013,87865.0,0.6945137157107232,,0.026151930261519303,0.1880448318804483,1938.0,2022
340010133021,100321.0,0.19319938176197837,,0.0,0.1971066907775768,1968.0,2022
340010133022,84583.0,0.4905897114178168,,0.07651245551601424,0.3416370106761566,1952.0,2022
340010133023,62813.0,0.35280898876404493,,0.0,0.2622377622377622,1961.0,2022
340010135001,164583.0,0.11262135922330097,,0.06927044952100221,0.19970523212969782,1967.0,2022
340010135002,98750.0,0.15673693858845097,,0.0061068702290076335,0.025954198473282397,1974.0,2022
340010135003,93065.0,0.3952569169960474,,0.027287319422150885,0.1621187800963082,1953.0,2022
340019834001,,0.0,,0.0,0.3096072931276297,1963.0,2022
340019900000,,,,,,,2022
340030010011,108864.0,0.20261437908496732,,0.13992932862190813,0.2636042402826855,1963.0,2022
340030010012,200208.0,0.2198581560283688,,0.02364864864864865,0.19031531531531531,1955.0,2022
340030010013,185678.0,0.24522292993630573,,0.05722599418040737,0.2599418040737148,1960.0,2022
340030010021,250001.0,0.2697768762677485,,0.0442643391521197,0.11720698254364093,1963.0,2022
340030010022,136027.0,0.10167130919220056,,0.020223523150612027,0.3368813198509846,1991.0,2022
340030021001,177375.0,0.1317365269461078,,0.04495747266099635,0.3511543134872418,1983.0,2022
340030021002,244152.0,0.1346153846153846,,0.04952076677316294,0.3945686900958466,1980.0,2022
340030022001,110833.0,0.22758620689655173,,0.06403659233847914,0.47684391080617494,1970.0,2022
340030022002,94188.0,0.1869747899159664,,0.05313092979127135,0.3978494623655914,1969.0,2022
340030022003,193750.0,0.168,,0.01478494623655914,0.24731182795698925,1967.0,2022
340030022004,125000.0,0.06295399515738499,,0.03565768621236133,0.427892234548336,1965.0,2022
340030023001,125750.0,0.09746835443037975,,0.025236593059936908,0.2645335736818387,1969.0,2022
340030023002,171849.0,0.0946372239747634,,0.0311284046692607,0.5447470817120623,1992.0,2022
340030023003,145000.0,0.445364238410596,,0.023184868822452714,0.3837705918242831,1952.0,2022
340030031001,122778.0,0.0695364238410596,,0.08138238573021182,0.38907469342251955,1957.0,2022
340030031002,137454.0,0.34309623430962344,,0.01152073732718894,0.5771889400921659,1953.0,2022
340030031003,110427.0,0.6208053691275168,,0.010687022900763359,0.6709923664122137,1943.0,2022
340030031004,72216.0,0.14615384615384616,,0.02556390977443609,0.9022556390977443,1956.0,2022
340030031005,124141.0,0.32053422370617696,,0.086144578313253,0.5289156626506024,1956.0,2022
340030032001,101181.0,0.3494809688581315,,0.08123249299719888,0.7549019607843137,1959.0,2022
340030032002,66029.0,0.5167364016736402,,0.020618556701030927,0.5315721649484536,1949.0,2022
340030032003,,0.5528169014084507,,0.07142857142857142,0.7561224489795918,1947.0,2022
340030032004,103750.0,0.09174311926605505,,0.057115198451113264,0.5343659244917716,1968.0,2022
340030032005,72083.0,0.5015974440894568,,0.03424657534246575,0.32602739726027397,1950.0,2022
340030033001,155625.0,0.41252699784017277,,0.0,0.5518602029312288,1957.0,2022
340030033002,129091.0,0.07006369426751592,,0.0863013698630137,0.5328767123287671,1957.0,2022
340030033003,118889.0,0.44542772861356933,,0.013500482160077145,0.39922854387656703,1952.0,2022
340030033004,129766.0,0.5443037974683544,,0.04590818363273453,0.3413173652694611,1944.0,2022
340030033005,141250.0,0.20911528150134048,,0.030303030303030304,0.7485667485667485,1955.0,2022
340030033006,154857.0,0.13976377952755906,,0.014144271570014143,0.615983026874116,1957.0,2022
340030034011,142857.0,0.42196531791907516,,0.05033881897386254,0.5450145208131656,1953.0,2022
340030034012,157708.0,0.23015873015873015,,0.10223463687150838,0.46983240223463685,1955.0,2022
340030034021,136146.0,0.148,,0.09848484848484848,0.46818181818181814,1956.0,2022
340030034022,171827.0,0.1673469387755102,,0.06928104575163399,0.4862745098039216,1956.0,2022
340030034023,200500.0,0.34450651769087526,,0.17492327926348092,0.13853572994300745,1956.0,2022
340030035001,209091.0,0.18518518518518517,,0.0,0.7197802197802198,1955.0,2022
340030035002,29639.0,0.43855693348365277,,0.08180943214629452,0.6612127045235804,1955.0,2022
340030035003,148017.0,0.7317880794701986,,0.2048331415420023,0.42807825086306095,1938.0,2022
340030040011,128083.0,0.6211382113821138,,0.07923497267759563,0.5956284153005464,1940.0,2022
340030040012,114167.0,0.5919881305637982,,0.039744175422567384,0.4481498401096391,1945.0,2022
340030040021,111603.0,0.7818532818532818,,0.08181203515889114,0.3657876943881001,1938.0,2022
340030040022,116429.0,0.6290322580645161,,0.025906735751295335,0.5544041450777202,1947.0,2022
340030040023,99886.0,0.797244094488189,,0.06419753086419754,0.4049382716049382,1938.0,2022
340030040024,97096.0,0.3844797178130511,,0.039032006245121,0.5402029664324746,1962.0,2022
340030050001,115122.0,0.26624068157614483,,0.017116774438950173,0.16736401673640167,1956.0,2022
340030050002,120119.0,0.642292490118577,,0.0,0.30324909747292417,1938.0,2022
340030050003,88306.0,0.44466403162055335,,0.16360454943132108,0.23097112860892388,1959.0,2022
340030050004,59255.0,0.2517857142857143,,0.024930747922437674,0.44506001846722065,1972.0,2022
340030050005,,0.4262948207171315,,0.07142857142857142,0.0,1953.0,2022
340030061011,83654.0,0.31277533039647576,,0.0,0.23718712753277715,1973.0,2022
340030061012,106474.0,0.46458333333333335,,0.06628242074927954,0.3804034582132565,1959.0,2022
